발생월,시도,시군구,사망자수,중상자수,경상자수,부상신고자수,cnt_minor,cnt_serious,cnt_fatal,total_cnt,ratio_0,ratio_1,ratio_2
1.0,전남,진도군,6,24,31,1,32,24,6,62,0.5161290322580645,0.3870967741935484,0.0967741935483871
1.0,전남,함평군,3,32,57,19,76,32,3,111,0.6846846846846847,0.2882882882882883,0.02702702702702703
1.0,전남,해남군,6,35,120,1,121,35,6,162,0.7469135802469136,0.21604938271604937,0.037037037037037035
1.0,전남,화순군,2,43,170,12,182,43,2,227,0.801762114537445,0.1894273127753304,0.00881057268722467
1.0,전북,고창군,3,36,31,0,31,36,3,70,0.44285714285714284,0.5142857142857142,0.04285714285714286
1.0,전북,군산시,6,123,698,41,739,123,6,868,0.8513824884792627,0.14170506912442396,0.0069124423963133645
1.0,전북,김제시,9,50,144,2,146,50,9,205,0.7121951219512195,0.24390243902439024,0.04390243902439024
1.0,전북,남원시,5,64,88,2,90,64,5,159,0.5660377358490566,0.4025157232704403,0.031446540880503145
1.0,전북,무주군,2,22,43,0,43,22,2,67,0.6417910447761194,0.3283582089552239,0.029850746268656716
1.0,전북,부안군,1,46,89,4,93,46,1,140,0.6642857142857143,0.32857142857142857,0.007142857142857143
1.0,전북,순창군,3,16,42,7,49,16,3,68,0.7205882352941176,0.23529411764705882,0.04411764705882353
1.0,전북,완주군,10,46,118,5,123,46,10,179,0.6871508379888268,0.2569832402234637,0.055865921787709494
1.0,전북,익산시,15,150,531,9,540,150,15,705,0.7659574468085106,0.2127659574468085,0.02127659574468085
1.0,전북,임실군,3,22,41,0,41,22,3,66,0.6212121212121212,0.3333333333333333,0.045454545454545456
1.0,전북,장수군,1,20,15,0,15,20,1,36,0.4166666666666667,0.5555555555555556,0.027777777777777776
1.0,전북,전주시,15,303,1175,11,1186,303,15,1504,0.788563829787234,0.2014627659574468,0.00997340425531915
1.0,전북,정읍시,12,71,205,3,208,71,12,291,0.7147766323024055,0.24398625429553264,0.041237113402061855
1.0,전북,진안군,3,19,30,1,31,19,3,53,0.5849056603773585,0.3584905660377358,0.05660377358490566
1.0,제주,서귀포시,11,242,593,81,674,242,11,927,0.727076591154261,0.26105717367853293,0.011866235167206042
1.0,제주,제주시,23,402,1306,190,1496,402,23,1921,0.7787610619469026,0.2092660072878709,0.011972930765226444
1.0,충남,계룡시,0,8,22,0,22,8,0,30,0.7333333333333333,0.26666666666666666,0.0
1.0,충남,공주시,9,63,191,10,201,63,9,273,0.7362637362637363,0.23076923076923078,0.03296703296703297
1.0,충남,금산군,2,20,43,0,43,20,2,65,0.6615384615384615,0.3076923076923077,0.03076923076923077
1.0,충남,논산시,13,88,142,5,147,88,13,248,0.592741935483871,0.3548387096774194,0.05241935483870968
1.0,충남,당진시,12,116,325,9,334,116,12,462,0.7229437229437229,0.2510822510822511,0.025974025974025976
1.0,충남,보령시,8,79,135,3,138,79,8,225,0.6133333333333333,0.3511111111111111,0.035555555555555556
1.0,충남,부여군,2,61,40,0,40,61,2,103,0.3883495145631068,0.5922330097087378,0.019417475728155338
1.0,충남,서산시,10,130,266,25,291,130,10,431,0.6751740139211136,0.30162412993039445,0.02320185614849188
1.0,충남,서천군,2,44,112,2,114,44,2,160,0.7125,0.275,0.0125
1.0,충남,아산시,19,152,542,20,562,152,19,733,0.7667121418826739,0.2073669849931787,0.02592087312414734
